asshole
bastards
bitch
bitsh
cunt
dumb
f*cking
fack you
fackin
fak u
fak yor
fak you
fck u
fck ur
fkin
fking
fucck
fuccking
fuck
fucking
fuckingg
fuckk
fuk u
fuk you
fuking
fuuck u
fuuck u
fuuck ur mother
gay
hate u
hate you
idiot
know how to play
lier
moran
moron
mother
nazi
noob
noobs
retard
shut up
stfu
suck
sucks
trash
useless
zero skills
